customer_id,customer_name,state
CS1,Aman,Uttarakhand
CS2,Sudhir,Chhattisgarh
CS3,Aditi,Haryana
CS4,Nitin,Meghalaya
CS5,Ayush,Manipur
CS6,Kabir,Arunachal Pradesh
CS7,Saloni,Manipur
CS8,Manisha,Telangana
CS9,Tarun,Uttar Pradesh
CS10,Avinash,Madhya Pradesh
CS11,Rohan,Rajasthan
CS12,Aarav,Madhya Pradesh
CS13,Advait,Himachal Pradesh
CS14,Bhavana,Punjab
CS15,Vikas,Uttar Pradesh
CS16,Vaibhav,Kerala
CS17,Sandeep,Rajasthan
CS18,Kajal,Nagaland
CS19,Anjali,Kerala
CS20,Shalini,Bihar
CS21,Isha,Jharkhand
CS22,Ankit,Telangana
CS23,Meera,Meghalaya
CS24,Gunjan,Maharashtra
CS25,Shraddha,Tripura
CS26,Akanksha,Mizoram
CS27,Sarika,Chhattisgarh
CS28,Vineet,Mizoram
CS29,Priya,Himachal Pradesh
CS30,Nikhil,Andhra Pradesh
CS31,Anushka,Uttarakhand
CS32,Kunal,Mizoram
CS33,Karthik,Rajasthan
CS34,Raman,Jharkhand
CS35,Neha,Tripura
CS36,Jhanvi,Punjab
CS37,Sonam,Chhattisgarh
CS38,Divya,Gujarat
CS39,Kriti,Chhattisgarh
CS40,Sakshi,Chhattisgarh
CS41,Vikram,Rajasthan
CS42,Shweta,Haryana
CS43,Raj,Bihar
CS44,Gayatri,Arunachal Pradesh
CS45,Jatin,West Bengal
CS46,Rakesh,Nagaland
CS47,Rohit,Tamil Nadu
CS48,Nidhi,Odisha
CS49,Udit,Uttar Pradesh
CS50,Anand,Tamil Nadu
CS51,Sourabh,West Bengal
CS52,Janhvi,Bihar
CS53,Yogesh,Gujarat
CS54,Disha,Bihar
CS55,Simran,West Bengal
CS56,Shakshi,Jharkhand
CS57,Kavya,Andhra Pradesh
CS58,Pooja,Nagaland
CS59,Ananya,Arunachal Pradesh
CS60,Sanjay,Assam
CS61,Varun,Maharashtra
CS62,Ishan,Himachal Pradesh
CS63,Shiv,Jharkhand
CS64,Lakshay,Maharashtra
CS65,Rajesh,Tamil Nadu
CS66,Vipul,Maharashtra
CS67,Tanvi,Gujarat
CS68,Sonia,Maharashtra
CS69,Ravi,Andhra Pradesh
CS70,Akash,West Bengal
CS71,Alia,Jharkhand
CS72,Abhilasha,Haryana
